[Shortcuts],Name,Shortcut,"Yes=0,Maybe=1",Notes,,
import_layer_as_paint_layer=none,import_layer_as_paint_layer,none,,,,
import_layer_as_selection_mask=none,import_layer_as_selection_mask,none,,,,
import_layer_as_transparency_mask=none,import_layer_as_transparency_mask,none,,,,
import_layer_from_file=none,import_layer_from_file,none,,,,
increase_brush_size=],increase_brush_size,],2,,,
increase_fade=none,increase_fade,none,,,,
increase_flow=none,increase_flow,none,,,,
increase_opacity=O,increase_opacity,O,,,,
increase_scatter=none,increase_scatter,none,,,,
insert_column_left=none,insert_column_left,none,,,,
insert_column_right=none,insert_column_right,none,,,,
insert_hold_column=none,insert_hold_column,none,,,,
insert_hold_frame=none,insert_hold_frame,none,,,,
insert_keyframe_left=none,insert_keyframe_left,none,,,,
insert_keyframe_right=none,insert_keyframe_right,none,,,,
insert_multiple_columns=none,insert_multiple_columns,none,,,,
insert_multiple_hold_columns=none,insert_multiple_hold_columns,none,,,,
insert_multiple_hold_frames=none,insert_multiple_hold_frames,none,,,,
insert_multiple_keyframes=none,insert_multiple_keyframes,none,,,,
invert_selection=Ctrl+Shift+I,invert_selection,Ctrl+Shift+I,,,,
isolate_active_group=none,isolate_active_group,none,,,,
isolate_active_layer=none,isolate_active_layer,none,,,,
krita_filter_asc-cdl=none,krita_filter_asc-cdl,none,,,,
krita_filter_autocontrast=none,krita_filter_autocontrast,none,,,,
krita_filter_blur=none,krita_filter_blur,none,,,,
krita_filter_bottom edge detections=none,krita_filter_bottom edge detections,none,,,,
krita_filter_burn=none,krita_filter_burn,none,,,,
krita_filter_colorbalance=Ctrl+B,krita_filter_colorbalance,Ctrl+B,,,,
krita_filter_colortoalpha=none,krita_filter_colortoalpha,none,,,,
krita_filter_colortransfer=none,krita_filter_colortransfer,none,,,,
krita_filter_crosschannel=none,krita_filter_crosschannel,none,,,,
krita_filter_desaturate=Ctrl+Shift+U,krita_filter_desaturate,Ctrl+Shift+U,,,,
krita_filter_dodge=none,krita_filter_dodge,none,,,,
krita_filter_emboss=none,krita_filter_emboss,none,,,,
krita_filter_emboss all directions=none,krita_filter_emboss all directions,none,,,,
krita_filter_emboss horizontal and vertical=none,krita_filter_emboss horizontal and vertical,none,,,,
krita_filter_emboss horizontal only=none,krita_filter_emboss horizontal only,none,,,,
krita_filter_emboss laplascian=none,krita_filter_emboss laplascian,none,,,,
krita_filter_emboss vertical only=none,krita_filter_emboss vertical only,none,,,,
krita_filter_gaussian blur=none,krita_filter_gaussian blur,none,,,,
krita_filter_gaussianhighpass=none,krita_filter_gaussianhighpass,none,,,,
krita_filter_gaussiannoisereducer=none,krita_filter_gaussiannoisereducer,none,,,,
krita_filter_gradientmap=none,krita_filter_gradientmap,none,,,,
krita_filter_halftone=none,krita_filter_halftone,none,,,,
krita_filter_height to normal=none,krita_filter_height to normal,none,,,,
krita_filter_hsvadjustment=Ctrl+U,krita_filter_hsvadjustment,Ctrl+U,,,,
krita_filter_indexcolors=none,krita_filter_indexcolors,none,,,,
krita_filter_invert=Ctrl+I,krita_filter_invert,Ctrl+I,,,,
krita_filter_left edge detections=none,krita_filter_left edge detections,none,,,,
krita_filter_lens blur=none,krita_filter_lens blur,none,,,,
krita_filter_levels=Ctrl+L,krita_filter_levels,Ctrl+L,,,,
krita_filter_maximize=none,krita_filter_maximize,none,,,,
krita_filter_mean removal=none,krita_filter_mean removal,none,,,,
krita_filter_minimize=none,krita_filter_minimize,none,,,,
krita_filter_motion blur=none,krita_filter_motion blur,none,,,,
krita_filter_noise=none,krita_filter_noise,none,,,,
krita_filter_normalize=none,krita_filter_normalize,none,,,,
krita_filter_oilpaint=none,krita_filter_oilpaint,none,,,,
krita_filter_palettize=none,krita_filter_palettize,none,,,,
krita_filter_perchannel=Ctrl+M,krita_filter_perchannel,Ctrl+M,,,,
krita_filter_phongbumpmap=none,krita_filter_phongbumpmap,none,,,,
krita_filter_pixelize=none,krita_filter_pixelize,none,,,,
krita_filter_posterize=none,krita_filter_posterize,none,,,,
krita_filter_raindrops=none,krita_filter_raindrops,none,,,,
krita_filter_randompick=none,krita_filter_randompick,none,,,,
krita_filter_right edge detections=none,krita_filter_right edge detections,none,,,,
krita_filter_roundcorners=none,krita_filter_roundcorners,none,,,,
krita_filter_sharpen=none,krita_filter_sharpen,none,,,,
krita_filter_smalltiles=none,krita_filter_smalltiles,none,,,,
krita_filter_sobel=none,krita_filter_sobel,none,,,,
krita_filter_threshold=none,krita_filter_threshold,none,,,,
krita_filter_top edge detections=none,krita_filter_top edge detections,none,,,,
krita_filter_unsharp=none,krita_filter_unsharp,none,,,,
krita_filter_wave=none,krita_filter_wave,none,,,,
krita_filter_waveletnoisereducer=none,krita_filter_waveletnoisereducer,none,,,,
last_frame=none,last_frame,none,,,,
layer_properties=F3,layer_properties,F3,2,,,
layer_style=none,layer_style,none,,,,
layercolorspaceconversion=none,layercolorspaceconversion,none,,,,
layersize=none,layersize,none,,,,
layersplit=none,layersplit,none,,,,
level_of_detail_mode=Shift+L,level_of_detail_mode,Shift+L,,,,
logcatdump=none,logcatdump,none,,,,
mainToolBar=none,mainToolBar,none,,,,
make_brush_color_bluer=none,make_brush_color_bluer,none,1,,,
make_brush_color_darker=K,make_brush_color_darker,K,1,,,
make_brush_color_desaturated=none,make_brush_color_desaturated,none,1,,,
make_brush_color_greener=none,make_brush_color_greener,none,1,,,
make_brush_color_lighter=L,make_brush_color_lighter,L,1,,,
make_brush_color_redder=none,make_brush_color_redder,none,1,,,
make_brush_color_saturated=none,make_brush_color_saturated,none,1,,,
make_brush_color_yellower=none,make_brush_color_yellower,none,1,,,
make_clones_unique=none,make_clones_unique,none,,,,
manage_bundles=none,manage_bundles,none,,,,
manage_resources=none,manage_resources,none,,,,
merge_layer=Ctrl+E,merge_layer,Ctrl+E,,,,
mirrorAllNodesX=none,mirrorAllNodesX,none,,,,
mirrorAllNodesY=none,mirrorAllNodesY,none,,,,
mirrorImageHorizontal=none,mirrorImageHorizontal,none,0,,,
mirrorImageVertical=none,mirrorImageVertical,none,0,,,
mirrorNodeX=none,mirrorNodeX,none,,,,
mirrorNodeY=none,mirrorNodeY,none,,,,
mirrorX-hideDecorations=none,mirrorX-hideDecorations,none,3,Macro,,
mirrorX-lock=none,mirrorX-lock,none,3,Macro,,
mirrorX-moveToCenter=none,mirrorX-moveToCenter,none,3,Macro,,
mirrorY-hideDecorations=none,mirrorY-hideDecorations,none,3,Macro,,
mirrorY-lock=none,mirrorY-lock,none,3,Macro,,
mirrorY-moveToCenter=none,mirrorY-moveToCenter,none,3,Macro,,
mirror_actions=none,mirror_actions,none,,,,
mirror_canvas=M,mirror_canvas,M,,,,
mirror_canvas_around_cursor=Alt+M,mirror_canvas_around_cursor,Alt+M,2,,,
mirror_columns=none,mirror_columns,none,,,,
mirror_frames=none,mirror_frames,none,,,,
move_layer_down=Ctrl+PgDown,move_layer_down,Ctrl+PgDown,,,,
move_layer_up=Ctrl+PgUp,move_layer_up,Ctrl+PgUp,,,,
movetool-move-down=Down,movetool-move-down,Down,,,,
movetool-move-down-more=Shift+Down,movetool-move-down-more,Shift+Down,,,,
movetool-move-left=Left,movetool-move-left,Left,,,,
movetool-move-left-more=Shift+Left,movetool-move-left-more,Shift+Left,,,,
movetool-move-right=Right,movetool-move-right,Right,,,,
movetool-move-right-more=Shift+Right,movetool-move-right-more,Shift+Right,,,,
movetool-move-up=Up,movetool-move-up,Up,,,,
movetool-move-up-more=Shift+Up,movetool-move-up-more,Shift+Up,,,,
movetool-show-coordinates=Ctrl+Alt+Shift+C,movetool-show-coordinates,Ctrl+Alt+Shift+C,,,,
new_from_visible=none,new_from_visible,none,,,,
next_favorite_preset=`,next_favorite_preset,`,2,,,
next_frame=none,next_frame,none,,,,
next_keyframe=none,next_keyframe,none,,,,
next_matching_keyframe=none,next_matching_keyframe,none,,,,
next_unfiltered_keyframe=none,next_unfiltered_keyframe,none,,,,
object_align_horizontal_center=none,object_align_horizontal_center,none,,,,
object_align_horizontal_left=none,object_align_horizontal_left,none,,,,
object_align_horizontal_right=none,object_align_horizontal_right,none,,,,
object_align_vertical_bottom=none,object_align_vertical_bottom,none,,,,
object_align_vertical_center=none,object_align_vertical_center,none,,,,
object_align_vertical_top=none,object_align_vertical_top,none,,,,
object_distribute_horizontal_center=none,object_distribute_horizontal_center,none,,,,
object_distribute_horizontal_gaps=none,object_distribute_horizontal_gaps,none,,,,
object_distribute_horizontal_left=none,object_distribute_horizontal_left,none,,,,
object_distribute_horizontal_right=none,object_distribute_horizontal_right,none,,,,
object_distribute_vertical_bottom=none,object_distribute_vertical_bottom,none,,,,
object_distribute_vertical_center=none,object_distribute_vertical_center,none,,,,
object_distribute_vertical_gaps=none,object_distribute_vertical_gaps,none,,,,
object_distribute_vertical_top=none,object_distribute_vertical_top,none,,,,
object_group=none,object_group,none,,,,
object_intersect=none,object_intersect,none,,,,
object_order_back=Ctrl+Shift+[,object_order_back,Ctrl+Shift+[,,,,
object_order_front=Ctrl+Shift+],object_order_front,Ctrl+Shift+],,,,
object_order_lower=Ctrl+Alt+[,object_order_lower,Ctrl+Alt+[,,,,
object_order_raise=Ctrl+Alt+],object_order_raise,Ctrl+Alt+],,,,
object_split=none,object_split,none,,,,
object_subtract=none,object_subtract,none,,,,
object_transform_mirror_horizontally=none,object_transform_mirror_horizontally,none,,,,
object_transform_mirror_vertically=none,object_transform_mirror_vertically,none,,,,
object_transform_reset=none,object_transform_reset,none,,,,
object_transform_rotate_180=none,object_transform_rotate_180,none,,,,
object_transform_rotate_90_ccw=none,object_transform_rotate_90_ccw,none,,,,
object_transform_rotate_90_cw=none,object_transform_rotate_90_cw,none,,,,
object_ungroup=none,object_ungroup,none,,,,
object_unite=none,object_unite,none,,,,
offsetimage=none,offsetimage,none,,,,
offsetlayer=none,offsetlayer,none,,,,
open_resources_directory=none,open_resources_directory,none,,,,
options_configure=7,options_configure,7,2,,,
options_configure_keybinding=none,options_configure_keybinding,none,,,,
options_configure_toolbars=8,options_configure_toolbars,8,,,,
paintops=none,paintops,none,,,,
paste_as_reference=Ctrl+Shift+R,paste_as_reference,Ctrl+Shift+R,1,,,
